ID	CONCEPT	TOKENS	DOCULECT	COGNACY
1	hand	ringa(ringa)	Maori	1
2	left	mauii	Maori	"1,59"
3	right	katau	Maori	"5, 40"
4	right	matau	Maori	"5,13"
5	leg/foot	waewae	Maori	"1, 100"
6	to walk	haere-a-waewae	Maori	6
7	road/path	ara	Maori	1
8	to come	haere mai	Maori	"1,42"
9	to turn	huri	Maori	15
10	to swim	kauhoe	Maori	5
11	dirty	paru	Maori	7
12	dust	pu|ehu	Maori	"1, 74"
13	dust	puehu	Maori	"1, 74"
14	skin	kiri	Maori	1
15	back	tuaraa	Maori	11
16	belly	puku	Maori	
17	bone	iwi	Maori	"52,5"
18	intestines	wheekau	Maori	12
19	liver	ate	Maori	1
20	breast	uu	Maori	1
21	shoulder	pakihiwi	Maori	8
22	"to know, be knowledgeable"	moohio	Maori	52
23	to think	whakaaro	Maori	
24	to fear	mataku	Maori	1
25	blood	toto	Maori	4
26	head	upoko	Maori	10
27	neck	ua	Maori	18
28	hair	makawe	Maori	
29	nose	ihu	Maori	1
30	to breathe	whakataa	Maori	11
31	"to sniff, smell"	hongi	Maori	9
32	mouth	waha	Maori	"1,8"
33	tooth	niho	Maori	1
34	tongue	arero	Maori	15
35	to laugh	kata	Maori	7
36	to cry	tangi	Maori	1
37	to vomit	ruaki	Maori	"8,31"
38	to spit	tuha	Maori	"19,34?"
39	to eat	kai	Maori	"1,44"
40	to chew	katikati	Maori	
41	to cook	tao	Maori	10
42	to drink	inu	Maori	1
43	to bite	ngau	Maori	7
44	to suck	ngote	Maori	9
45	ear	taringa	Maori	1
46	to hear	rongo	Maori	1
47	eye	mata	Maori	1
48	to see	kite	Maori	1
49	to yawn	haamama(mama)	Maori	"19,28"
50	to sleep	moe	Maori	10
51	to lie down	takoto	Maori	7
52	to dream	moemoeaa	Maori	"7,27"
53	to sit	noho	Maori	16
54	to stand	tuu	Maori	2
55	person/human being	tangata	Maori	"1,66"
56	man/male	taane	Maori	"1,11"
57	woman/female	wahine	Maori	"1,106, 116"
58	child	tamaiti	Maori	"6,64"
59	husband	taane	Maori	14
60	wife	wahine	Maori	"5,68"
61	mother	whaea	Maori	6
62	father	matua	Maori	"1,9"
63	house	whare	Maori	14
64	thatch/roof	raurau	Maori	55?
65	name	ingoa	Maori	6
66	to say	koorero	Maori	11
67	rope	taura	Maori	9
68	"to tie up, fasten"	herehere	Maori	43
69	to sew	tui	Maori	13
70	needle	ngira	Maori	16
71	to hunt	whaiwhai	Maori	6
72	to shoot	whana	Maori	1
73	"to stab, pierce"	oka	Maori	67
74	to hit	patu	Maori	7
75	to steal	taahae	Maori	5?
76	to kill	patu	Maori	9
77	"to die, be dead"	mate	Maori	1
78	"to live, be alive"	ora	Maori	6
79	to scratch	rakuraku	Maori	9
80	"to cut, hack"	taa	Maori	1
81	stick/wood	raa|kau	Maori	1
82	to split	waawaahi	Maori	4
83	sharp	koi(koi)	Maori	"14,66"
84	"dull, blunt"	puuhuki	Maori	18
85	to work	mahi	Maori	54
86	to plant	too	Maori	4
87	to choose	whiri	Maori	1
88	to grow	tupu	Maori	1
89	to swell	puku	Maori	24
90	to squeeze	kotee	Maori	
91	to hold	pupuri	Maori	
92	to dig	keri	Maori	1
93	to buy	hoko	Maori	7
94	"to open, uncover"	huaki	Maori	8
