#
GLOSSID	CONCEPT	COUNTERPART	DOCULECT
205	all	all	eng-000
206	all	every	eng-000
207	ash	ash	eng-000
208	ash	ashes	eng-000
209	bark	bark	eng-000
210	abdomen	abdomen	eng-000
211	abdomen	belly	eng-000
212	big	big	eng-000
213	big	bigness	eng-000
214	big	large	eng-000
215	bird	bird	eng-000
216	bite	bite	eng-000
217	black	black	eng-000
218	blood	blood	eng-000
219	bone	bone	eng-000
220	breast	breast	eng-000
221	breast	breasts	eng-000
222	burn	burn	eng-000
223	burn	burn tr.	eng-000
224	claw	claw	eng-000
225	claw	nail	eng-000
226	claw	talon	eng-000
227	cloud	cloud	eng-000
228	cold	cold	eng-000
229	come	come	eng-000
230	come	come from	eng-000
231	be dead	be dead	eng-000
232	be dead	dead	eng-000
233	be dead	die	eng-000
234	dog	dog	eng-000
235	drink	drink	eng-000
236	dry	dry	eng-000
237	ear	ear	eng-000
238	earth	earth	eng-000
239	earth	ground	eng-000
240	earth	land	eng-000
241	earth	soil	eng-000
242	eat	eat	eng-000
243	egg	egg	eng-000
244	eye	eye	eng-000
245	fat	fat	eng-000
246	fat	fat n.	eng-000
247	fat	grease	eng-000
248	fat	lubricant	eng-000
249	fat	oil	eng-000
250	feather	feather	eng-000
251	fire	fire	eng-000
252	fish	fish	eng-000
253	fly	fly	eng-000
254	fly	fly v.	eng-000
255	foot	foot	eng-000
256	full	full	eng-000
257	give	give	eng-000
258	good	good	eng-000
259	green	green	eng-000
260	hair	hair	eng-000
261	hand	hand	eng-000
262	hand	left hand	eng-000
263	hand	right	eng-000
264	head	head	eng-000
265	hear	hear	eng-000
266	heart	heart	eng-000
267	horn	horn	eng-000
268	1 sg.	1 sg.	eng-000
269	1 sg.	I	eng-000
270	kill	kill	eng-000
271	knee	knee	eng-000
272	be knowledgeable	be knowledgeable	eng-000
273	be knowledgeable	know	eng-000
274	leaf	leaf	eng-000
275	lie	lie	eng-000
276	lie	lie down	eng-000
277	liver	liver	eng-000
278	long	long	eng-000
279	head louse	head louse	eng-000
280	head louse	louse	eng-000
281	male	male	eng-000
282	male	man	eng-000
283	many	many	eng-000
284	many	much	eng-000
285	many	multiple	eng-000
286	many	several	eng-000
287	flesh	flesh	eng-000
288	flesh	meat	eng-000
289	moon	moon	eng-000
290	hill	hill	eng-000
291	hill	mountain	eng-000
292	mouth	mouth	eng-000
293	name	name	eng-000
294	name	title	eng-000
295	neck	neck	eng-000
296	new	new	eng-000
297	night	night	eng-000
298	night	nighttime	eng-000
299	nose	nose	eng-000
300	not	not	eng-000
301	adulterous	adulterous	eng-000
302	adulterous	one	eng-000
303	adulterous	single	eng-000
304	adulterous	that	eng-000
305	adulterous	the	eng-000
306	adulterous	unprincipled	eng-000
307	human	human	eng-000
308	human	human being	eng-000
309	human	man	eng-000
310	human	person	eng-000
311	rain	rain	eng-000
312	rain	rainy weather	eng-000
313	red	red	eng-000
314	path	path	eng-000
315	path	road	eng-000
316	path	route	eng-000
317	root	root	eng-000
318	round	round	eng-000
319	sand	sand	eng-000
320	sand	say	eng-000
321	say	say	eng-000
322	see	see	eng-000
323	seed	seed	eng-000
324	sit	sit	eng-000
325	hide	hide	eng-000
326	hide	skin	eng-000
327	sleep	sleep	eng-000
328	little	little	eng-000
329	little	small	eng-000
330	little	smallness	eng-000
331	smoke	smoke	eng-000
332	stand	stand	eng-000
333	star	star	eng-000
334	rock	rock	eng-000
335	rock	stone	eng-000
336	sun	sun	eng-000
337	swim	swim	eng-000
338	tail	tail	eng-000
339	that	that	eng-000
340	this	this	eng-000
341	2 sg	2 sg	eng-000
342	2 sg	thou	eng-000
343	2 sg	you	eng-000
344	tongue	tongue	eng-000
345	tooth	tooth	eng-000
346	tree	tree	eng-000
347	grind	grind	eng-000
348	grind	two	eng-000
349	go	go	eng-000
350	go	walk	eng-000
