id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby
85,Maori,"Bruce Biggs",mri,maor1246,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic","Simon Greenhill","Simon Greenhill"
latitude,longitude
-35.74651225991849656793,174.02343750000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
85,1,hand,ringa(ringa),"irregular medial C (see Pollex)",,1,1
442,2,left,mauii,,,"1,59",1
124900,3,right,katau,,,"5, 40",1
124901,3,right,matau,,,"5,13",1
1156,4,leg/foot,waewae,"Correction via Peter Keegan",,"1, 100",1?
1513,5,"to walk",haere-a-waewae,,,6,
1870,6,road/path,ara,,,1,1
2227,7,"to come","haere mai",,,"1,42",1
2584,8,"to turn",huri,,,15,
2941,9,"to swim",kauhoe,,,5,
3298,10,dirty,paru,,,7,
3655,11,dust,pu|ehu,,,"1, 74",1?
195120,11,dust,puehu,,,"1, 74",
4012,12,skin,kiri,,,1,1
4369,13,back,tuaraa,,,11,
4726,14,belly,puku,,,,
5083,15,bone,iwi,,,"52,5",
5440,16,intestines,wheekau,,,12,
5797,17,liver,ate,,,1,1
6154,18,breast,uu,,,1,1
6511,19,shoulder,pakihiwi,,,8,
6868,20,"to know, be knowledgeable",moohio,,,52,
7225,21,"to think",whakaaro,,,,
7582,22,"to fear",mataku,,,1,1
7939,23,blood,toto,,,4,
8296,24,head,upoko,,,10,
8653,25,neck,ua,,,18,
9010,26,hair,makawe,,,,
9367,27,nose,ihu,,,1,1
9724,28,"to breathe",whakataa,,,11,
10081,29,"to sniff, smell",hongi,,,9,
10438,30,mouth,waha,,,"1,8",1
10795,31,tooth,niho,,,1,1
11152,32,tongue,arero,,,15,
11509,33,"to laugh",kata,,,7,
11866,34,"to cry",tangi,,,1,1
12223,35,"to vomit",ruaki,,,"8,31",
12580,36,"to spit",tuha,,,"19,34?",
12937,37,"to eat",kai,,,"1,44",1
13294,38,"to chew",katikati,,,,
13651,39,"to cook",tao,,,10,
14008,40,"to drink",inu,,,1,1
14365,41,"to bite",ngau,,,7,
14722,42,"to suck",ngote,,,9,
