#
COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT
0	I	I	aɪ	English
0	I	азъ	None	Old Church Slavonic
0	I	já	jaː	Czech
0	I	ja	jaː	Polish
0	I	ja	jaː	Slovak
0	I	ja	jaː	Lower Sorbian
0	I	ja	jaː	Upper Sorbian
0	I	аз	as	Bulgarian
0	I	јас	jas	Macedonian
0	I	ja	jaː	Serbo-Croatian Latin
0	I	ја	ja	Serbo-Croatian Cyrillic
0	I	jaz	jas	Slovene
0	I	я	ja	Belarusian
0	I	я	ja	Russian
0	I	я	ja	Rusyn
0	I	я	ja	Ukrainian
1	you	you	juː	English
1	you	тꙑ	None	Old Church Slavonic
1	you	ty	tɪ	Czech
1	you	ty	tɪ	Polish
1	you	ty	tɪ	Slovak
1	you	ty	tɪ	Lower Sorbian
1	you	ty	tɪ	Upper Sorbian
1	you	ти	ti	Bulgarian
1	you	ти	ti	Macedonian
1	you	ti	tiː	Serbo-Croatian Latin
1	you	ти	ti	Serbo-Croatian Cyrillic
1	you	ti	tiː	Slovene
1	you	ты	tə	Belarusian
1	you	ты	tə	Russian
1	you	ты	tə	Rusyn
1	you	ти	ti	Ukrainian
2	he	he	ˈhiː	English
2	he	онъ	on	Old Church Slavonic
2	he	on	ɒn	Czech
2	he	on	ɒn	Polish
2	he	on	ɒn	Slovak
2	he	wón	wɨn	Lower Sorbian
2	he	wón	wɨn	Upper Sorbian
2	he	той	tɔj	Bulgarian
2	he	тој	tɔj	Macedonian
2	he	on	ɒn	Serbo-Croatian Latin
2	he	он	wan	Serbo-Croatian Cyrillic
2	he	on	ɒn	Slovene
2	he	ён	None	Belarusian
2	he	он	wan	Russian
2	he	он	wan	Rusyn
2	he	він	ˈʋʲin	Ukrainian
3	we	we	wiː	English
3	we	мꙑ	None	Old Church Slavonic
3	we	my	maɪ	Czech
3	we	my	maɪ	Polish
3	we	my	maɪ	Slovak
3	we	my	maɪ	Lower Sorbian
3	we	my	maɪ	Upper Sorbian
3	we	ние	ˈniɛ	Bulgarian
3	we	ние	ˈniɛ	Macedonian
3	we	mi	miː	Serbo-Croatian Latin
3	we	ми	mi	Serbo-Croatian Cyrillic
3	we	mi	miː	Slovene
3	we	мы	mə	Belarusian
3	we	мы	mə	Russian
3	we	мы	mə	Rusyn
3	we	ми	mi	Ukrainian
4	you	you	juː	English
4	you	вꙑ	None	Old Church Slavonic
4	you	vy	vɪ	Czech
4	you	wy	vəi	Polish
4	you	vy	vɪ	Slovak
4	you	wy	vəi	Lower Sorbian
4	you	wy	vəi	Upper Sorbian
4	you	вие	ˈviɛ	Bulgarian
4	you	вие	ˈviɛ	Macedonian
4	you	vi	βi	Serbo-Croatian Latin
4	you	ви	vi	Serbo-Croatian Cyrillic
4	you	vi	βi	Slovene
4	you	вы	və	Belarusian
4	you	вы	və	Russian
4	you	вы	və	Rusyn
4	you	ви	vi	Ukrainian
5	they	they	ðeɪ	English
5	they	они	ɐˈnʲi	Old Church Slavonic
5	they	oni	ˈoʊniː	Czech
5	they	oni	ˈoʊniː	Polish
5	they	oni	ˈoʊniː	Slovak
5	they	wóni	ˈwɨnʲi	Lower Sorbian
