# Wordlist

# META
@vowels:T V _

# DATA
ID	﻿ID	CONCEPT	TOKENS	DOCULECT	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	CUSTOMID	ALIGNMENT
#
173	173	"bad, evil"	kino	Maori	9	1	A	K	2	2.K.C	2.0	kino	0	1	kino
407	407	"bad, evil"	cÄ	Fijian	1	1	A	C	1	1.C.C	2.0	cÄ	0	1	cÄ
#
174	174	"correct, true"	tika	Maori	9	1	A	T	2	2.T.C	2.0	tika	0	2	tika
408	408	"correct, true"	dina	Fijian	40	1	A	T	1	1.T.C	2.0	dina	0	2	dina
409	409	"correct, true"	donu	Fijian	8	1	A	T	1	1.T.C	2.0	donu	0	2	donu
#
84	84	"dull, blunt"	puuhuki	Maori	18	1	A	P	2	2.P.C	2.0	puuhuki	0	3	puuhuki
#
185	185	"in, inside"	i roto	Maori	5	7 5	XN	IR	2	2.I.V 2.R.c	1.5 0.8	iroto	0	5	i roto
417	417	"in, inside"	e loÉ­ma	Fijian	1	7 5	XN	EL	1	1.E.V 1.L.c	1.5 0.8	eloÉ­ma	0	4	e loÉ­ma
#
213	213	"no, not"	kaahore	Maori	11	1	A	K	2	2.K.C	2.0	kaahore	0	7	kaahore
444	444	"no, not"	sega	Fijian	42	3	A	S	1	1.S.C	2.0	sega	0	6	sega
#
168	168	"painful, sick"	maauiui	Maori	"1,12"	4	A	M	2	2.M.C	2.0	maauiui	0	9	maauiui
402	402	"painful, sick"	rarawa	Fijian		5	A	R	1	1.R.C	2.0	rarawa	0	8	rarawa
#
169	169	"shy, ashamed"	whaka|maa	Maori	1	6	A	W	2	2.W.C	2.0	whaka|maa	0	11	whaka|maa
403	403	"shy, ashamed"	mÄduÄ	Fijian	31	4	A	M	1	1.M.C	2.0	mÄduÄ	0	10	mÄduÄ
#
80	80	"to cut, hack"	taa	Maori	1	1	A	T	2	2.T.C	2.0	taa	0	12	taa
316	316	"to cut, hack"	tatÄ	Fijian	1	1	A	T	1	1.T.C	2.0	tatÄ	0	12	tatÄ
#
77	77	"to die, be dead"	mate	Maori	1	4	A	M	2	2.M.C	2.0	mate	0	13	mate
312	312	"to die, be dead"	mate	Fijian	1	4	A	M	1	1.M.C	2.0	mate	0	13	mate
#
22	22	"to know, be knowledgeable"	moohio	Maori	52	4	A	M	2	2.M.C	2.0	moohio	0	15	moohio
250	250	"to know, be knowledgeable"	kila-a	Fijian	18	1	A	K	1	1.K.C	2.0	kila-a	0	14	kila-a
#
78	78	"to live, be alive"	ora	Maori	6	7	X	U	2	2.U.V	1.5	ora	0	17	ora
313	313	"to live, be alive"	bula	Fijian	28	1	A	P	1	1.P.C	2.0	bula	0	16	bula
#
94	94	"to open, uncover"	huaki	Maori	8	3	A	H	2	2.H.C	2.0	huaki	0	19	huaki
331	331	"to open, uncover"	dola-va	Fijian	35	1	A	T	1	1.T.C	2.0	dola-va	0	18	dola-va
#
95	95	"to pound, beat"	tuki	Maori	"20, 2"	1	A	T	2	2.T.C	2.0	tuki	0	20	tuki
332	332	"to pound, beat"	tuki-a	Fijian	"20, 2"	1	A	T	1	1.T.C	2.0	tuki-a	0	20	tuki-a
#
31	31	"to sniff, smell"	hongi	Maori	9	3	A	H	2	2.H.C	2.0	hongi	0	22	hongi
259	259	"to sniff, smell"	regu-ca	Fijian		5	A	R	1	1.R.C	2.0	regu-ca	0	21	regu-ca
#
73	73	"to stab, pierce"	oka	Maori	67	7	X	U	2	2.U.V	1.5	oka	0	24	oka
306	306	"to stab, pierce"	sua-ka	Fijian	54	3	A	S	1	1.S.C	2.0	sua-ka	0	23	sua-ka
#
68	68	"to tie up, fasten"	herehere	Maori	43	3	A	H	2	2.H.C	2.0	herehere	0	26	herehere
299	299	"to tie up, fasten"	vau-ca	Fijian	11	3	A	B	1	1.B.C	2.0	vau-ca	0	25	vau-ca
300	300	"to tie up, fasten"	buki-a	Fijian	41	1	A	P	1	1.P.C	2.0	buki-a	0	25	buki-a
#
222	222	Eight	waru	Maori	3	6	A	W	2	2.W.C	2.0	waru	0	27	waru
453	453	Eight	walu	Fijian	3	6	A	W	1	1.W.C	2.0	walu	0	27	walu
#
228	228	Fifty	rima tekau	Maori		5 1	AN	RT	2	2.R.C 2.T.c	2.0 0.8	rimatekau	0	29	rima tekau
457	457	Fifty	lima-sagavulu	Fijian	"1, 2"	5	A	L	1	1.L.C	2.0	lima-sagavulu	0	28	lima-sagavulu
#
