# Wordlist

# META
@vowels:T V _

# DATA
ID	GLOSSID	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	CUSTOMID	ALIGNMENT
#
1	0	I	I	aɪ	English	aɪ	7	X	A	4	4.A.V	1.5	0	4	aɪ
3	2	I	já	jaː	Czech	j aː	6 7	AX	JA	3	3.J.C 3.A.V	2.0 1.5	0	1	j aː -
4	3	I	ja	jaː	Polish	j aː	6 7	AX	JA	8	8.J.C 8.A.V	2.0 1.5	0	1	j aː -
5	4	I	ja	jaː	Slovak	j aː	6 7	AX	JA	13	13.J.C 13.A.V	2.0 1.5	0	1	j aː -
6	5	I	ja	jaː	Lower Sorbian	j aː	6 7	AX	JA	5	5.J.C 5.A.V	2.0 1.5	0	1	j aː -
7	6	I	ja	jaː	Upper Sorbian	j aː	6 7	AX	JA	16	16.J.C 16.A.V	2.0 1.5	0	1	j aː -
8	7	I	аз	as	Bulgarian	a s	7 3	XN	AS	2	2.A.V 2.S.c	1.5 0.8	0	2	a s
9	8	I	јас	jas	Macedonian	j a s	6 7 3	AXN	JAS	6	6.J.C 6.A.V 6.S.c	2.0 1.5 0.8	0	1	j a s
10	9	I	ja	jaː	Serbo-Croatian Latin	j aː	6 7	AX	JA	12	12.J.C 12.A.V	2.0 1.5	0	1	j aː -
11	10	I	ја	ja	Serbo-Croatian Cyrillic	j a	6 7	AX	JA	11	11.J.C 11.A.V	2.0 1.5	0	1	j a -
12	11	I	jaz	jas	Slovene	j a s	6 7 3	AXN	JAS	14	14.J.C 14.A.V 14.S.c	2.0 1.5 0.8	0	1	j a s
13	12	I	я	ja	Belarusian	j a	6 7	AX	JA	1	1.J.C 1.A.V	2.0 1.5	0	1	j a -
14	13	I	я	ja	Russian	j a	6 7	AX	JA	9	9.J.C 9.A.V	2.0 1.5	0	1	j a -
15	14	I	я	ja	Rusyn	j a	6 7	AX	JA	10	10.J.C 10.A.V	2.0 1.5	0	1	j a -
16	15	I	я	ja	Ukrainian	j a	6 7	AX	JA	15	15.J.C 15.A.V	2.0 1.5	0	1	j a -
#
257	256	all	all	ɔːl	English	ɔː l	7 5	XN	UL	4	4.U.V 4.L.c	1.5 0.8	0	5	ɔː l
260	259	all	wszystko	ˈfʂɨ.stkɔ	Polish	ˈf ʂ ɨ s t k ɔ	3 3 7 3 1 1 7	ACYLMBZ	BSISTKU	8	8.B.C 8.S.C 8.I.V 8.S.c 8.T.c 8.K.C 8.U.V	2.0 1.5 1.3 1.1 1.1 1.75 0.8	0	8	ˈf ʂ ɨ s t k ɔ
262	261	all	wšyken	ˈʃɨkʲɛn	Lower Sorbian	ˈʃ ɨ kʲ ɛ n	3 7 1 7 4	AXBYN	SIKEN	5	5.S.C 5.I.V 5.K.C 5.E.V 5.N.c	2.0 1.5 1.75 1.3 0.8	0	6	ˈʃ ɨ kʲ ɛ n
265	264	all	се	sɛ	Macedonian	s ɛ	3 7	AX	SE	6	6.S.C 6.E.V	2.0 1.5	0	7	s - ɛ
266	265	all	sve	sʋê	Serbo-Croatian Latin	s ʋ ê	3 6 7	ACX	SWE	12	12.S.C 12.W.C 12.E.V	2.0 1.5 1.5	0	7	s ʋ ê
267	266	all	све	sʋê	Serbo-Croatian Cyrillic	s ʋ ê	3 6 7	ACX	SWE	11	11.S.C 11.W.C 11.E.V	2.0 1.5 1.5	0	7	s ʋ ê
270	269	all	весь	vʲesʲ	Russian	vʲ e sʲ	3 7 3	AXN	BES	9	9.B.C 9.E.V 9.S.c	2.0 1.5 0.8	0	9	vʲ e sʲ
#
3249	3248	and	and	ænd	English	æ n d	7 4 1	XLN	ENT	4	4.E.V 4.N.c 4.T.c	1.5 1.1 0.8	0	13	æ n d
3250	3249	and	и	jə	Old Church Slavonic	j ə	6 7	AX	JE	7	7.J.C 7.E.V	2.0 1.5	0	11	j ə
3251	3250	and	a	ɑː	Czech	ɑː	7	X	A	3	3.A.V	1.5	0	10	ɑː
3252	3251	and	i	aɪ	Polish	aɪ	7	X	A	8	8.A.V	1.5	0	10	aɪ
3253	3252	and	a	ɑː	Slovak	ɑː	7	X	A	13	13.A.V	1.5	0	10	ɑː
3254	3253	and	a	ɑː	Lower Sorbian	ɑː	7	X	A	5	5.A.V	1.5	0	10	ɑː
3255	3254	and	a	ɑː	Upper Sorbian	ɑː	7	X	A	16	16.A.V	1.5	0	10	ɑː
3256	3255	and	и	jə	Bulgarian	j ə	6 7	AX	JE	2	2.J.C 2.E.V	2.0 1.5	0	11	j ə
3257	3256	and	и	jə	Macedonian	j ə	6 7	AX	JE	6	6.J.C 6.E.V	2.0 1.5	0	11	j ə
3258	3257	and	i	aɪ	Serbo-Croatian Latin	aɪ	7	X	A	12	12.A.V	1.5	0	10	aɪ
3259	3258	and	и	jə	Serbo-Croatian Cyrillic	j ə	6 7	AX	JE	11	11.J.C 11.E.V	2.0 1.5	0	11	j ə
3260	3259	and	in	ɪn	Slovene	ɪ n	7 4	XN	IN	14	14.I.V 14.N.c	1.5 0.8	0	13	ɪ n -
3261	3260	and	і	i	Belarusian	i	7	X	I	1	1.I.V	1.5	0	10	i
3262	3261	and	и	jə	Russian	j ə	6 7	AX	JE	9	9.J.C 9.E.V	2.0 1.5	0	11	j ə
3263	3262	and	і	i	Rusyn	i	7	X	I	10	10.I.V	1.5	0	10	i
3264	3263	and	та	ta	Ukrainian	t a	1 7	AX	TA	15	15.T.C 15.A.V	2.0 1.5	0	24	t a
#
689	688	animal	animal	ˈæ.nɪ.məl	English	ˈæ n ɪ m ə l	7 4 7 4 7 5	XBYBYN	ENIMEL	4	4.E.V 4.N.C 4.I.V 4.M.C 4.E.V 4.L.c	1.5 1.75 1.3 1.75 1.3 0.8	0	27	ˈæ n ɪ m ə l
691	690	animal	zvíře	'zvi:r̝ɛ	Czech	'z v i: r̝ ɛ	3 3 7 5 7	ACYBZ	SBIRE	3	3.S.C 3.B.C 3.I.V 3.R.C 3.E.V	2.0 1.5 1.3 1.75 0.8	0	26	'z v i: r̝ ɛ
692	691	animal	zwierzę	ˈzvʲɛ.ʐɛ	Polish	ˈz vʲ ɛ ʐ ɛ	3 3 7 3 7	ACYBZ	SBESE	8	8.S.C 8.B.C 8.E.V 8.S.C 8.E.V	2.0 1.5 1.3 1.75 0.8	0	26	ˈz vʲ ɛ ʐ ɛ
693	692	animal	živočích	ˈʒivɔt͡ʃiːx	Slovak	ˈʒ i v ɔ t͡ʃ iː x	3 7 3 7 2 7 3	AXBYBYN	SIBUCIG	13	13.S.C 13.I.V 13.B.C 13.U.V 13.C.C 13.I.V 13.G.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	25	ˈʒ i v ɔ t͡ʃ iː x -
694	693	animal	zwěrje	ˈzvʲiɪ̯rʲɛ	Lower Sorbian	ˈz vʲ iɪ̯ rʲ ɛ	3 3 7 5 7	ACYBZ	SBIRE	5	5.S.C 5.B.C 5.I.V 5.R.C 5.E.V	2.0 1.5 1.3 1.75 0.8	0	26	ˈz vʲ iɪ̯ rʲ ɛ
696	695	animal	животно	ʒiˈvɔtno	Bulgarian	ʒ i ˈv ɔ t n o	3 7 3 7 1 4 7	AXBYBCZ	SIBUTNU	2	2.S.C 2.I.V 2.B.C 2.U.V 2.T.C 2.N.C 2.U.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	0	25	ʒ i ˈv ɔ t - n o
697	696	animal	животно	ʒiˈvɔtno	Macedonian	ʒ i ˈv ɔ t n o	3 7 3 7 1 4 7	AXBYBCZ	SIBUTNU	6	6.S.C 6.I.V 6.B.C 6.U.V 6.T.C 6.N.C 6.U.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	0	25	ʒ i ˈv ɔ t - n o
698	697	animal	životinja	ʒiʋǒtiɲa	Serbo-Croatian Latin	ʒ i ʋ ǒ t i ɲ a	3 7 6 7 1 7 4 7	AXBYBYBZ	SIWUTINA	12	12.S.C 12.I.V 12.W.C 12.U.V 12.T.C 12.I.V 12.N.C 12.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	25	ʒ i ʋ ǒ t i ɲ a
699	698	animal	животиња	ʒiʋǒtiɲa	Serbo-Croatian Cyrillic	ʒ i ʋ ǒ t i ɲ a	3 7 6 7 1 7 4 7	AXBYBYBZ	SIWUTINA	11	11.S.C 11.I.V 11.W.C 11.U.V 11.T.C 11.I.V 11.N.C 11.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	25	ʒ i ʋ ǒ t i ɲ a
700	699	animal	žival	ʒiˈʋáːw	Slovene	ʒ i ˈʋ áː w	3 7 6 7 6	AXBYN	SIWAW	14	14.S.C 14.I.V 14.W.C 14.A.V 14.W.c	2.0 1.5 1.75 1.3 0.8	0	35	ʒ i ˈʋ áː w
702	701	animal	зверь	zvʲerʲ	Russian	z vʲ e rʲ	3 3 7 5	ACYN	SBER	9	9.S.C 9.B.C 9.E.V 9.R.c	2.0 1.5 1.3 0.8	0	26	z vʲ e rʲ -
704	703	animal	звір	ˈzʲʋʲir	Ukrainian	ˈzʲ ʋʲ i r	3 6 7 5	ACXN	SWIR	15	15.S.C 15.W.C 15.I.V 15.R.c	2.0 1.5 1.5 0.8	0	26	ˈzʲ ʋʲ i r -
#
2673	2672	ash	ash	ˈæʃ	English	ˈæ ʃ	7 3	XN	ES	4	4.E.V 4.S.c	1.5 0.8	0	37	ˈæ ʃ
2676	2675	ash	popiół	ˈpɔpjuw	Polish	ˈp ɔ p j u w	1 7 1 6 7 6	AXBCYN	PUPJYW	8	8.P.C 8.U.V 8.P.C 8.J.C 8.Y.V 8.W.c	2.0 1.5 1.75 1.5 1.3 0.8	0	36	ˈp ɔ p j u w
2677	2676	ash	popol	ˈpɔpɔɫ	Slovak	ˈp ɔ p ɔ ɫ	1 7 1 7 5	AXBYN	PUPUL	13	13.P.C 13.U.V 13.P.C 13.U.V 13.L.c	2.0 1.5 1.75 1.3 0.8	0	36	ˈp ɔ p - ɔ ɫ
2678	2677	ash	popjeł	ˈpɔpʲɛw	Lower Sorbian	ˈp ɔ pʲ ɛ w	1 7 1 7 6	AXBYN	PUPEW	5	5.P.C 5.U.V 5.P.C 5.E.V 5.W.c	2.0 1.5 1.75 1.3 0.8	0	36	ˈp ɔ pʲ - ɛ w
2679	2678	ash	popjeł	ˈpɔpʲɛw	Upper Sorbian	ˈp ɔ pʲ ɛ w	1 7 1 7 6	AXBYN	PUPEW	16	16.P.C 16.U.V 16.P.C 16.E.V 16.W.c	2.0 1.5 1.75 1.3 0.8	0	36	ˈp ɔ pʲ - ɛ w
2680	2679	ash	пепел	ˈpɛpɛl	Bulgarian	ˈp ɛ p ɛ l	1 7 1 7 5	AXBYN	PEPEL	2	2.P.C 2.E.V 2.P.C 2.E.V 2.L.c	2.0 1.5 1.75 1.3 0.8	0	36	ˈp ɛ p - ɛ l
2681	2680	ash	пепел	ˈpɛpɛl	Macedonian	ˈp ɛ p ɛ l	1 7 1 7 5	AXBYN	PEPEL	6	6.P.C 6.E.V 6.P.C 6.E.V 6.L.c	2.0 1.5 1.75 1.3 0.8	0	36	ˈp ɛ p - ɛ l
2682	2681	ash	pepeo	pêpeo	Serbo-Croatian Latin	p ê p eo	1 7 1 7	AXBZ	PEPE	12	12.P.C 12.E.V 12.P.C 12.E.V	2.0 1.5 1.75 0.8	0	36	p ê p - eo -
2683	2682	ash	пепео	pêpeo	Serbo-Croatian Cyrillic	p ê p eo	1 7 1 7	AXBZ	PEPE	11	11.P.C 11.E.V 11.P.C 11.E.V	2.0 1.5 1.75 0.8	0	36	p ê p - eo -
2684	2683	ash	pepel	pɛˈpéːw	Slovene	p ɛ ˈp éː w	1 7 1 7 6	AXBYN	PEPEW	14	14.P.C 14.E.V 14.P.C 14.E.V 14.W.c	2.0 1.5 1.75 1.3 0.8	0	36	p ɛ ˈp - éː w
2686	2685	ash	пепел	ˈpɛpɛl	Russian	ˈp ɛ p ɛ l	1 7 1 7 5	AXBYN	PEPEL	9	9.P.C 9.E.V 9.P.C 9.E.V 9.L.c	2.0 1.5 1.75 1.3 0.8	0	36	ˈp ɛ p - ɛ l
2688	2687	ash	попіл	ˈpɔpʲil	Ukrainian	ˈp ɔ pʲ i l	1 7 1 7 5	AXBYN	PUPIL	15	15.P.C 15.U.V 15.P.C 15.I.V 15.L.c	2.0 1.5 1.75 1.3 0.8	0	36	ˈp ɔ pʲ - i l
#
3201	3200	at	at	æt	English	æ t	7 1	XN	ET	4	4.E.V 4.T.c	1.5 0.8	0	41	æ t
3203	3202	at	u	u	Czech	u	7	X	Y	3	3.Y.V	1.5	0	40	u
3204	3203	at	u	u	Polish	u	7	X	Y	8	8.Y.V	1.5	0	40	u
3205	3204	at	pri	prî	Slovak	p r î	1 5 7	ACX	PRI	13	13.P.C 13.R.C 13.I.V	2.0 1.5 1.5	0	45	p r î
3206	3205	at	wu	u	Lower Sorbian	u	7	X	Y	5	5.Y.V	1.5	0	40	u
3207	3206	at	při	pr̝̊ɪ	Upper Sorbian	p r̝̊ ɪ	1 5 7	ACX	PRI	16	16.P.C 16.R.C 16.I.V	2.0 1.5 1.5	0	45	p r̝̊ ɪ
3208	3207	at	в	w	Bulgarian	w	6	A	W	2	2.W.C	2.0	0	39	w
3209	3208	at	до	də	Macedonian	d ə	1 7	AX	TE	6	6.T.C 6.E.V	2.0 1.5	0	43	d ə
3210	3209	at	u	u	Serbo-Croatian Latin	u	7	X	Y	12	12.Y.V	1.5	0	40	u
3211	3210	at	у	u	Serbo-Croatian Cyrillic	u	7	X	Y	11	11.Y.V	1.5	0	40	u
3212	3211	at	v	v	Slovene	v	3	A	B	14	14.B.C	2.0	0	39	v
3213	3212	at	каля	kɐˈlʲa	Belarusian	k ɐ ˈlʲ a	1 7 5 7	AXBZ	KELA	1	1.K.C 1.E.V 1.L.C 1.A.V	2.0 1.5 1.75 0.8	0	38	k ɐ ˈlʲ a
3214	3213	at	при	prʲɪ	Russian	p rʲ ɪ	1 5 7	ACX	PRI	9	9.P.C 9.R.C 9.I.V	2.0 1.5 1.5	0	45	p rʲ ɪ
3215	3214	at	коло	kôlo	Rusyn	k ô l o	1 7 5 7	AXBZ	KULU	10	10.K.C 10.U.V 10.L.C 10.U.V	2.0 1.5 1.75 0.8	0	38	k ô l o
3216	3215	at	коло	kôlo	Ukrainian	k ô l o	1 7 5 7	AXBZ	KULU	15	15.K.C 15.U.V 15.L.C 15.U.V	2.0 1.5 1.75 0.8	0	38	k ô l o
#
1393	1392	back	back	bæk	English	b æ k	1 7 1	AXN	PEK	4	4.P.C 4.E.V 4.K.c	2.0 1.5 0.8	0	47	b æ k
1396	1395	back	plecy	ˈplɛt͡sɨ	Polish	ˈp l ɛ t͡s ɨ	1 5 7 2 7	ACXBZ	PLECI	8	8.P.C 8.L.C 8.E.V 8.C.C 8.I.V	2.0 1.5 1.5 1.75 0.8	0	50	ˈp l ɛ t͡s ɨ
1397	1396	back	chrbát	ˈxr̩baːt	Slovak	ˈx r̩ b aː t	3 5 1 7 1	AXBYN	GRPAT	13	13.G.C 13.R.V 13.P.C 13.A.V 13.T.c	2.0 1.5 1.75 1.3 0.8	0	48	ˈx - r̩ - b aː t
1398	1397	back	kśebjat	ˈkɕebʲat	Lower Sorbian	ˈk ɕ e bʲ a t	1 3 7 1 7 1	ACXBYN	KSEPAT	5	5.K.C 5.S.C 5.E.V 5.P.C 5.A.V 5.T.c	2.0 1.5 1.5 1.75 1.3 0.8	0	48	ˈk - ɕ e bʲ a t
1400	1399	back	гръб	ɡrɤp	Bulgarian	ɡ r ɤ p	1 5 7 1	ACXN	KREP	2	2.K.C 2.R.C 2.E.V 2.P.c	2.0 1.5 1.5 0.8	0	46	ɡ r ɤ p
1401	1400	back	грб	ɡr̩p	Macedonian	ɡ r̩ p	1 5 1	AXN	KRP	6	6.K.C 6.R.V 6.P.c	2.0 1.5 0.8	0	46	ɡ r̩ - p
1402	1401	back	leđa	lěːdʑa	Serbo-Croatian Latin	l ěː d ʑ a	5 7 1 3 7	AXBCZ	LETSA	12	12.L.C 12.E.V 12.T.C 12.S.C 12.A.V	2.0 1.5 1.75 1.5 0.8	0	52	l ěː d ʑ a
1403	1402	back	леђа	lěːdʑa	Serbo-Croatian Cyrillic	l ěː d ʑ a	5 7 1 3 7	AXBCZ	LETSA	11	11.L.C 11.E.V 11.T.C 11.S.C 11.A.V	2.0 1.5 1.75 1.5 0.8	0	52	l ěː d ʑ a
1404	1403	back	hrbet	ˈxərbət	Slovene	ˈx ə r b ə t	3 7 5 1 7 1	AXMBYN	GERPET	14	14.G.C 14.E.V 14.R.c 14.P.C 14.E.V 14.T.c	2.0 1.5 1.1 1.75 1.3 0.8	0	48	ˈx ə r - b ə t
1406	1405	back	спина	spʲɪˈna	Russian	s pʲ ɪ ˈn a	3 1 7 4 7	ACYBZ	SPINA	9	9.S.C 9.P.C 9.I.V 9.N.C 9.A.V	2.0 1.5 1.3 1.75 0.8	0	51	s pʲ ɪ ˈn a
1408	1407	back	спина	spʲɪˈna	Ukrainian	s pʲ ɪ ˈn a	3 1 7 4 7	ACYBZ	SPINA	15	15.S.C 15.P.C 15.I.V 15.N.C 15.A.V	2.0 1.5 1.3 1.75 0.8	0	51	s pʲ ɪ ˈn a
#
2961	2960	bad	bad	bæd	English	b æ d	1 7 1	AXN	PET	4	4.P.C 4.E.V 4.T.c	2.0 1.5 0.8	0	55	b æ d
2963	2962	bad	špatný	'ʃpatni:	Czech	'ʃ p a t n i:	3 1 7 1 4 7	ACYBCZ	SPATNI	3	3.S.C 3.P.C 3.A.V 3.T.C 3.N.C 3.I.V	2.0 1.5 1.3 1.75 1.5 0.8	0	54	'ʃ p a t n i:
2964	2963	bad	zły	zwɨ	Polish	z w ɨ	3 6 7	ACX	SWI	8	8.S.C 8.W.C 8.I.V	2.0 1.5 1.5	0	56	z - w ɨ
2965	2964	bad	zlý	ˈzɫiː	Slovak	ˈz ɫ iː	3 5 7	ACX	SLI	13	13.S.C 13.L.C 13.I.V	2.0 1.5 1.5	0	62	ˈz ɫ iː
2966	2965	bad	zły	zwɨ	Lower Sorbian	z w ɨ	3 6 7	ACX	SWI	5	5.S.C 5.W.C 5.I.V	2.0 1.5 1.5	0	56	z - w ɨ
2968	2967	bad	лош	lôʃ	Bulgarian	l ô ʃ	5 7 3	AXN	LUS	2	2.L.C 2.U.V 2.S.c	2.0 1.5 0.8	0	53	l ô ʃ
2969	2968	bad	лош	lôʃ	Macedonian	l ô ʃ	5 7 3	AXN	LUS	6	6.L.C 6.U.V 6.S.c	2.0 1.5 0.8	0	53	l ô ʃ
2970	2969	bad	zao	zâo	Serbo-Croatian Latin	z â o	3 7 7	AXZ	SAU	12	12.S.C 12.A.V 12.U.V	2.0 1.5 0.8	0	56	z â - o
2971	2970	bad	зао	zaːwa	Serbo-Croatian Cyrillic	z aː w a	3 7 6 7	AXBZ	SAWA	11	11.S.C 11.A.V 11.W.C 11.A.V	2.0 1.5 1.75 0.8	0	56	z aː w a
2974	2973	bad	плохой	plɐˈxoj	Russian	p l ɐ ˈx o j	1 5 7 3 7 6	ACXBYN	PLEGUJ	9	9.P.C 9.L.C 9.E.V 9.G.C 9.U.V 9.J.c	2.0 1.5 1.5 1.75 1.3 0.8	0	59	p l ɐ ˈx o j
#
913	912	bark	bark	bɑːk	English	b ɑː k	1 7 1	AXN	PAK	4	4.P.C 4.A.V 4.K.c	2.0 1.5 0.8	0	65	b ɑː k
914	913	bark	кора	koˈra	Old Church Slavonic	k o ˈr a	1 7 5 7	AXBZ	KURA	7	7.K.C 7.U.V 7.R.C 7.A.V	2.0 1.5 1.75 0.8	0	63	- k o ˈr - a
916	915	bark	kora	ˈkorɒ	Polish	ˈk o r ɒ	1 7 5 7	AXBZ	KURO	8	8.K.C 8.U.V 8.R.C 8.O.V	2.0 1.5 1.75 0.8	0	63	- ˈk o r - ɒ
917	916	bark	kôra	ˈku̯o.ra	Slovak	ˈk u̯o r a	1 7 5 7	AXBZ	KYRA	13	13.K.C 13.Y.V 13.R.C 13.A.V	2.0 1.5 1.75 0.8	0	63	- ˈk u̯o r - a
