# Wordlist

# META
@vowels:T V _

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	CUSTOMID	ALIGNMENT
#
1	0	I	I	aɪ	English	aɪ	7	X	a	4	4.a.V	1.5	0	2	- aɪ -
3	0	I	já	jaː	Czech	j aː	6 7	AX	ya	3	3.y.C 3.a.V	2.0 1.5	0	2	j aː -
4	0	I	ja	jaː	Polish	j aː	6 7	AX	ya	8	8.y.C 8.a.V	2.0 1.5	0	2	j aː -
5	0	I	ja	jaː	Slovak	j aː	6 7	AX	ya	13	13.y.C 13.a.V	2.0 1.5	0	2	j aː -
6	0	I	ja	jaː	Lower Sorbian	j aː	6 7	AX	ya	5	5.y.C 5.a.V	2.0 1.5	0	2	j aː -
7	0	I	ja	jaː	Upper Sorbian	j aː	6 7	AX	ya	16	16.y.C 16.a.V	2.0 1.5	0	2	j aː -
8	0	I	аз	as	Bulgarian	a s	7 3	XN	as	2	2.a.V 2.s.c	1.5 0.8	0	2	- a s
9	0	I	јас	jas	Macedonian	j a s	6 7 3	AXN	yas	6	6.y.C 6.a.V 6.s.c	2.0 1.5 0.8	0	2	j a s
10	0	I	ja	jaː	Serbo-Croatian Latin	j aː	6 7	AX	ya	12	12.y.C 12.a.V	2.0 1.5	0	2	j aː -
11	0	I	ја	ja	Serbo-Croatian Cyrillic	j a	6 7	AX	ya	11	11.y.C 11.a.V	2.0 1.5	0	2	j a -
12	0	I	jaz	jas	Slovene	j a s	6 7 3	AXN	yas	14	14.y.C 14.a.V 14.s.c	2.0 1.5 0.8	0	2	j a s
13	0	I	я	ja	Belarusian	j a	6 7	AX	ya	1	1.y.C 1.a.V	2.0 1.5	0	2	j a -
14	0	I	я	ja	Russian	j a	6 7	AX	ya	9	9.y.C 9.a.V	2.0 1.5	0	2	j a -
15	0	I	я	ja	Rusyn	j a	6 7	AX	ya	10	10.y.C 10.a.V	2.0 1.5	0	2	j a -
16	0	I	я	ja	Ukrainian	j a	6 7	AX	ya	15	15.y.C 15.a.V	2.0 1.5	0	2	j a -
#
257	16	all	all	ɔːl	English	ɔː l	7 5	XN	ol	4	4.o.V 4.l.c	1.5 0.8	0	3	ɔː l
260	16	all	wszystko	ˈfʂɨstkɔ	Polish	ˈf ʂ ɨ s t k ɔ	3 3 7 3 1 1 7	ACYLMBZ	fSIstko	8	8.f.C 8.S.C 8.I.V 8.s.c 8.t.c 8.k.C 8.o.V	2.0 1.5 1.3 1.1 1.1 1.75 0.8	0	6	ˈf ʂ ɨ s t k ɔ
262	16	all	wšyken	ˈʃɨkʲɛn	Lower Sorbian	ˈʃ ɨ kʲ ɛ n	3 7 1 7 4	AXBYN	SIkEn	5	5.S.C 5.I.V 5.k.C 5.E.V 5.n.c	2.0 1.5 1.75 1.3 0.8	0	4	ˈʃ ɨ kʲ ɛ n
265	16	all	се	sɛ	Macedonian	s ɛ	3 7	AX	sE	6	6.s.C 6.E.V	2.0 1.5	0	5	s - ɛ
266	16	all	sve	sʋê	Serbo-Croatian Latin	s ʋ ê	3 6 7	ACX	swe	12	12.s.C 12.w.C 12.e.V	2.0 1.5 1.5	0	5	s ʋ ê
267	16	all	све	sʋê	Serbo-Croatian Cyrillic	s ʋ ê	3 6 7	ACX	swe	11	11.s.C 11.w.C 11.e.V	2.0 1.5 1.5	0	5	s ʋ ê
270	16	all	весь	vʲesʲ	Russian	vʲ e sʲ	3 7 3	AXN	ves	9	9.v.C 9.e.V 9.s.c	2.0 1.5 0.8	0	7	vʲ e sʲ
#
3249	203	and	and	ænd	English	æ n d	7 4 1	XLN	End	4	4.E.V 4.n.c 4.d.c	1.5 1.1 0.8	0	11	æ n d
3250	203	and	и	jə	Old Church Slavonic	j ə	6 7	AX	yI	7	7.y.C 7.I.V	2.0 1.5	0	9	j ə
3251	203	and	a	ɑː	Czech	ɑː	7	X	o	3	3.o.V	1.5	0	8	ɑː
3252	203	and	i	aɪ	Polish	aɪ	7	X	a	8	8.a.V	1.5	0	8	aɪ
3253	203	and	a	ɑː	Slovak	ɑː	7	X	o	13	13.o.V	1.5	0	8	ɑː
3254	203	and	a	ɑː	Lower Sorbian	ɑː	7	X	o	5	5.o.V	1.5	0	8	ɑː
3255	203	and	a	ɑː	Upper Sorbian	ɑː	7	X	o	16	16.o.V	1.5	0	8	ɑː
3256	203	and	и	jə	Bulgarian	j ə	6 7	AX	yI	2	2.y.C 2.I.V	2.0 1.5	0	9	j ə
3257	203	and	и	jə	Macedonian	j ə	6 7	AX	yI	6	6.y.C 6.I.V	2.0 1.5	0	9	j ə
3258	203	and	i	aɪ	Serbo-Croatian Latin	aɪ	7	X	a	12	12.a.V	1.5	0	8	aɪ
3259	203	and	и	jə	Serbo-Croatian Cyrillic	j ə	6 7	AX	yI	11	11.y.C 11.I.V	2.0 1.5	0	9	j ə
3260	203	and	in	ɪn	Slovene	ɪ n	7 4	XN	in	14	14.i.V 14.n.c	1.5 0.8	0	11	ɪ n -
3261	203	and	і	i	Belarusian	i	7	X	i	1	1.i.V	1.5	0	8	i
3262	203	and	и	jə	Russian	j ə	6 7	AX	yI	9	9.y.C 9.I.V	2.0 1.5	0	9	j ə
3263	203	and	і	i	Rusyn	i	7	X	i	10	10.i.V	1.5	0	8	i
3264	203	and	та	ta	Ukrainian	t a	1 7	AX	ta	15	15.t.C 15.a.V	2.0 1.5	0	22	t a
#
689	43	animal	animal	ˈænɪməl	English	ˈæ n ɪ m ə l	7 4 7 4 7 5	XBYBYN	EnimIl	4	4.E.V 4.n.C 4.i.V 4.m.C 4.I.V 4.l.c	1.5 1.75 1.3 1.75 1.3 0.8	0	25	ˈæ n ɪ m ə l
691	43	animal	zvíře	zvirɛ	Czech	z v i r ɛ	3 3 7 5 7	ACYBZ	zvirE	3	3.z.C 3.v.C 3.i.V 3.r.C 3.E.V	2.0 1.5 1.3 1.75 0.8	0	24	z v i r ɛ
692	43	animal	zwierzę	ˈzvʲɛʐɛ	Polish	ˈz vʲ ɛ ʐ ɛ	3 3 7 3 7	ACYBZ	zvEZE	8	8.z.C 8.v.C 8.E.V 8.Z.C 8.E.V	2.0 1.5 1.3 1.75 0.8	0	24	ˈz vʲ ɛ ʐ ɛ
693	43	animal	živočích	ˈʒivɔtʃiːx	Slovak	ˈʒ i v ɔ t ʃ iː x	3 7 3 7 1 3 7 3	AXBYBCYN	ZivotSix	13	13.Z.C 13.i.V 13.v.C 13.o.V 13.t.C 13.S.C 13.i.V 13.x.c	2.0 1.5 1.75 1.3 1.75 1.5 1.3 0.8	0	23	ˈʒ i v ɔ t - ʃ iː x
694	43	animal	zwěrje	ˈzvʲiɪrʲɛ	Lower Sorbian	ˈz vʲ iɪ rʲ ɛ	3 3 7 5 7	ACYBZ	zvirE	5	5.z.C 5.v.C 5.i.V 5.r.C 5.E.V	2.0 1.5 1.3 1.75 0.8	0	24	ˈz vʲ iɪ rʲ ɛ
696	43	animal	животно	ʒiˈvɔtno	Bulgarian	ʒ i ˈv ɔ t n o	3 7 3 7 1 4 7	AXBYBCZ	Zivotno	2	2.Z.C 2.i.V 2.v.C 2.o.V 2.t.C 2.n.C 2.o.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	0	23	ʒ i ˈv ɔ t - n o -
697	43	animal	животно	ʒiˈvɔtno	Macedonian	ʒ i ˈv ɔ t n o	3 7 3 7 1 4 7	AXBYBCZ	Zivotno	6	6.Z.C 6.i.V 6.v.C 6.o.V 6.t.C 6.n.C 6.o.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	0	23	ʒ i ˈv ɔ t - n o -
698	43	animal	životinja	ʒiʋǒtiɲa	Serbo-Croatian Latin	ʒ i ʋ ǒ t i ɲ a	3 7 6 7 1 7 4 7	AXBYBYBZ	ZiwotiHa	12	12.Z.C 12.i.V 12.w.C 12.o.V 12.t.C 12.i.V 12.H.C 12.a.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	23	ʒ i ʋ ǒ t i ɲ a -
699	43	animal	животиња	ʒiʋǒtiɲa	Serbo-Croatian Cyrillic	ʒ i ʋ ǒ t i ɲ a	3 7 6 7 1 7 4 7	AXBYBYBZ	ZiwotiHa	11	11.Z.C 11.i.V 11.w.C 11.o.V 11.t.C 11.i.V 11.H.C 11.a.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	23	ʒ i ʋ ǒ t i ɲ a -
700	43	animal	žival	ʒiˈʋáːw	Slovene	ʒ i ˈʋ áː w	3 7 6 7 6	AXBYN	Ziwaw	14	14.Z.C 14.i.V 14.w.C 14.a.V 14.w.c	2.0 1.5 1.75 1.3 0.8	0	23	ʒ i ˈʋ áː w - - - -
702	43	animal	зверь	zvʲerʲ	Russian	z vʲ e rʲ	3 3 7 5	ACYN	zver	9	9.z.C 9.v.C 9.e.V 9.r.c	2.0 1.5 1.3 0.8	0	24	z vʲ e rʲ -
704	43	animal	звір	ˈzʲʋʲir	Ukrainian	ˈzʲ ʋʲ i r	3 6 7 5	ACXN	zwir	15	15.z.C 15.w.C 15.i.V 15.r.c	2.0 1.5 1.5 0.8	0	24	ˈzʲ ʋʲ i r -
#
2673	167	ash	ash	ˈæʃ	English	ˈæ ʃ	7 3	XN	ES	4	4.E.V 4.S.c	1.5 0.8	0	27	ˈæ ʃ
2676	167	ash	popiół	ˈpɔpjuw	Polish	ˈp ɔ p j u w	1 7 1 6 7 6	AXBCYN	popyuw	8	8.p.C 8.o.V 8.p.C 8.y.C 8.u.V 8.w.c	2.0 1.5 1.75 1.5 1.3 0.8	0	28	ˈp ɔ p j u w
2677	167	ash	popol	ˈpɔpɔɫ	Slovak	ˈp ɔ p ɔ ɫ	1 7 1 7 5	AXBYN	popol	13	13.p.C 13.o.V 13.p.C 13.o.V 13.l.c	2.0 1.5 1.75 1.3 0.8	0	28	ˈp ɔ p - ɔ ɫ
